Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Haan Maine Bhi Pyaar Kiya,(2002),8,Dharmesh Darshan,Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Kader Khan, Himani Shivpuri, Shakti Kapoor, Mohnish Behl, Navneet Nishan, Simone Singh, Sophiya Haque, Supriya Karnik, Shweta Menon, Upasna Singh, Razzak Khan, Dolly Bindra",Sameer,"Nadeem Saifee, Shravan","Alka Yagnik, Kumar Sanu, Sarika Kapoor, Udit Narayan","https://www.imdb.com/title/tt0308347, http://en.wikipedia.org/wiki/Haan_Maine_Bhi_Pyaar_Kiya",https://www.youtube.com/watch?v=IFpMo00RkaU
Haathi Mere Saathi,(1971),7,M Thirumugum,"M M A Chinappa Devar, Sandow M","Rajesh Khanna, Tanuja, Sujit Kumar, K N Singh, Naaz, Madan Puri, Jr Mehmood, David, Krishnakant, Abhi Bhattacharya, Srandhir",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Kishore Kumar, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0272118, http://en.wikipedia.org/wiki/Haathi_Mere_Saathi",https://www.youtube.com/watch?v=sBdpHZ9M1ZA
Hamari Yaad Aayegi,(1962),10,Kidar Sharma,,"Anand Kumar, Ashok Sharma, Tanuja, Vijay Madhvi, Dube, Sujata, Madhvi",Kedar Sharma,Snehal Bhatkar,"Lata Mangeshkar, Mohammed Rafi, Suman Kalyanpur, Mukesh, Mubarak Begum",https://www.imdb.com/title/tt0415024,"https://www.youtube.com/watch?v=FD-l2yunYxw, https://www.youtube.com/watch?v=wozY7PEjAgY"
Hamraaz,(1967),6,B R Chopra,B R Chopra,"Sunil Dutt, Vimmi, Raaj Kumar, Madan Puri, Mumtaz, Balraj Sahni, Jeevan, Iftekhar, Manmohan Krishan, Sarika, Mubarak, Achla Sachdev, Urmila Bhatt, Anwar",Sahir Ludhianvi,Ravi,"Asha Bhosle, Mahendra Kapoor","https://www.imdb.com/title/tt0061744, http://en.wikipedia.org/wiki/Humraaz_%281967_film%29","https://www.youtube.com/watch?v=x_zupZgZeag, https://www.youtube.com/watch?v=cVaz3m2exYw"
Hamrahi,(1963),8,T Prakash Rao,Prasad,"Mehmood, Agha, Nasir Hussain, Shobha Khote, Rajendra Nath, Rajendra Kumar, Jamuna, Indira, Shashikala, Dhumal, O P Ralhan, Lalita Pawar","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mohammed Rafi, Shamshad Begum",https://www.imdb.com/title/tt0254372,"https://www.youtube.com/watch?v=5zrPL9tmd5w, https://www.youtube.com/watch?v=J8B8yQ2ango"
Hanste Zakhm,(1973),5,Chetan Anand,Chetan Anand,"Mac Mohan, Naveen Nischol, Priya Rajvansh, Jeevan, Balraj Sahni, Nadira, Kamal Kapoor, K N Singh, Murad, Achla Sachdev",Kaifi Azmi,Madan Mohan,"Lata Mangeshkar, Mohammed Rafi, Asha Bhosle","https://www.imdb.com/title/tt0154563, http://en.wikipedia.org/wiki/Hanste_Zakhm","https://www.youtube.com/watch?v=uPeV_9FWOqw, https://www.youtube.com/watch?v=PMpsxHKpy-k"
Hare Rama Hare Krishna,(1972),10,Dev Anand,Dev Anand,"Dev Anand, Mumtaz, Zeenat Aman, Jr Mehmood, Rajendra Nath, Achla Sachdev, Iftekhar, Prem Chopra, Kishore Sahu, Raj Kishore, Indrani Mukherjee, Gautam Sarin, Sudhir, Mumtaz Begum, Shyam, Yashodhara Katju, Satyajit Puri, Master Shahid, Meena, Prashant, Inder, Narayan, Shah, Sinha",Anand Bakshi,R D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Usha Uthup","https://www.imdb.com/title/tt0067183, http://en.wikipedia.org/wiki/Hare_Rama_Hare_Krishna_%281971_film%29",
Hariyali Aur Rasta,(1962),10,Vijay Bhatt,,"Manoj Kumar, Mala Sinha, Helen, Omprakash, Shashikala, Manmohan Krishan, Jagdeep, Surendra, Krishan Kumari","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mahendra Kapoor, Mukesh","https://www.imdb.com/title/tt0156593, http://en.wikipedia.org/wiki/Hariyali_Aur_Rasta",
Haseena Maan Jaayegi,(1999),8,David Dhawan,Smita Thackeray,"Sanjay Dutt, Govinda, Karisma Kapoor, Pooja Batra, Kader Khan, Anupam Kher, Paresh Rawal, Aruna Irani, Mohan Joshi, Aashish Vidyarthi, Aasif Sheikh, Razzak Khan, Shakti Kapoor, Bindu, Satish Kaushik, Asrani, Anil Dhawan, Mahavir Shah, Pushpa Verma","Nitin Raikwar, Sameer",Anu Malik,"Alka Yagnik, Govinda, Hema Sardesai, Kavita Krishnamurthy, Poornima, Ravi Shankar, Sanjay Dutt, Shankar Mahadevan, Sonu Nigam, Sudesh Bhosle","https://www.imdb.com/title/tt0267548, http://en.wikipedia.org/wiki/Haseena_Maan_Jaayegi",
Hate Story 2,(2014),8,Vishal Pandya,"Vikram Bhatt, Bhushan Kumar","Sushant Singh, Surveen Chawla, Jay Bhanushali, Siddharth Kher, Rajesh Khera","Aziz Qaisi,  Arko, Tanveer Ghazi, Kumaar, Mithoon","Mithoon, Laxmikant Kudalkar, Pyarelal, Rashid Khan, Meet Bros Anjjan","Arijit Singh ,  KK, Samira Koppikar, Khushboo Grewal, Meet Bros Anjjan","https://www.imdb.com/title/tt3619772, http://en.wikipedia.org/wiki/Hate_Story_2",
Hatyara,(1977),5,Surendra Mohan,Sunil Sharma,"Vinod Khanna, Moushmi Chatterjee, Pran, Rakesh Roshan, Nirupa Roy, Priya Darshini, Dev Kumar, Raj Mehra","Vishweshwar Sharma, Vithalbhai Patel, Shahid Bijnori",Kalyanji Anandji,"Kishore Kumar, Asha Bhosle, Lata Mangeshkar, Mehmood, Shahid Bijnori, Johnny Junior","https://www.imdb.com/title/tt0373891, http://en.wikipedia.org/wiki/Hatyara",
I Hate Luv Storys,(2010),8,Punit Malhotra,"Hiroo Johar, Karan Johar, Ronnie Screwvala","Imran Khan, Sonam Kapoor, Sameer Dattani, Sameer Soni, Kavin Dave, Bruna Abdulla, Ketaki Dave, Anju Mahendroo, Aamir Ali Malik, Pooja Ghai, Khusboo Shroff, Shireesh Sharma, Aseem Tiwari","Anvita Dutt Guptan, Kumaar, Vishal Dadlani","Vishal Dadlani, Shekhar Ravjiani","Mahalakshmi Iyer, Rahat Fateh Ali Khan, Shafqat Amanat Ali, Shekhar Ravjiani, Shreya Ghoshal, Sona Mohapatra, Sunidhi Chauhan, Suraj Jagan, Vishal Dadlani","https://www.imdb.com/title/tt1667838, http://en.wikipedia.org/wiki/I_Hate_Luv_Storys",https://www.youtube.com/watch?v=hwd-vH6LqCw
Indian,(2001),6,N Mahajan,Dharmendra,"Sunny Deol, Raj Babbar, Shilpa Shetty, Danny Denzongpa, Mukesh Rishi, Om Puri, Pramod Moutho, Rana Jung Bahadur, Viju Khote, Avtar Gill, Deepak Shirke, Dinesh Hingoo, Reema Lagoo, Sanjay Narvekar, Rahul Dev, Rajat Bedi, Shakti Kapoor, Salim Ghouse, Vivek Shauq, Surendra Pal, Anil Nagrath, Rakesh Pandey, Ankush Mohit, Malaika Arora, Suresh Bhagwat",Anand Bakshi,Anand Raj Anand,"Shaan, Alka Yagnik, Abhijeet, Sadhna Sargam, Anand Raj Anand, Udit Narayan, Sunidhi Chauhan, Richa Sharma, Roop Kumar Rathod",https://www.imdb.com/title/tt0300028,
