Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Taxi Number 9211,(2006),8,Milan Luthria,Ramesh Sippy,"Nana Patekar, John Abraham, Sameera Reddy, Sonali Kulkarni, Kurush Deboo, Shivaji Satam, Sanjay Dutt, Priyanka Chopra, Akash Khurana, Nassar Abdulla, Smita Jaykar, Rajesh Asthana, Ganesh Yadav, Mangal Kenkre, Ajay Jadhav, Master Ashwin Chitale, Shankar Sachdev","Dev Kohli, Vishal Dadlani","Vishal Dadlani, Shekhar Ravjiani","Adnan Sami, Bappi Lahiri, Harshdeep Kaur, K K, Kunal Ganjawala, Shaan, Shekhar Ravjiani, Sunidhi Chauhan, Vishal Dadlani","https://www.imdb.com/title/tt0476884, http://en.wikipedia.org/wiki/Taxi_Number_9211","https://www.youtube.com/watch?v=QTmwhrVal1g, https://www.youtube.com/watch?v=yfqie_8twfQ"
Teen devian,(1965),6,Amarjeet,"Amarjeet, Nalanda","Dev Anand, Simi, Nanda, Kalpana, Sulochana, I S Johar, Jankidas, Harindranath Chattopadhyay, Ravikant, Dilip Dutt, Rashid Khan",Majrooh Sultanpuri,S D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0274944, http://en.wikipedia.org/wiki/Teen_Devian","https://www.youtube.com/watch?v=iOPw0dbH3Us, https://www.youtube.com/watch?v=xzrL2ZXV2oU"
Teesri Manzil,(1966),7,Vijay Anand,Nasir Hussain,"Shammi Kapoor, Asha Parekh, Prem Chopra, Premnath, Helen, Iftekhar, Raj Mehra, Rashid Khan, Ram Avtar, S N Banerjee, K N Singh, Salim, Neeta, Sabina, Haroon, Indira Bansal",Majrooh Sultanpuri,R D Burman,"Asha Bhosle, Mohammed Rafi","https://www.imdb.com/title/tt0061073, http://en.wikipedia.org/wiki/Teesri_Manzil","https://www.youtube.com/watch?v=KvtxYvsXwkY, https://www.youtube.com/watch?v=xyFO1jpBgzM"
Tere Ghar Ke Samne,(1963),9,Vijay Anand,Dev Anand,"Dev Anand, Nutan, Om Parkesh, Jankidas, Rajendra Nath, Harindranath Chattopadhyay, Mumtaz Begum, Pratima Devi, Rashid Khan, Parveen Choudhary",Hasrat Jaipuri,S D Burman,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0057568, http://en.wikipedia.org/wiki/Tere_Ghar_Ke_Samne","https://www.youtube.com/watch?v=kaEU2gAhHTk, https://www.youtube.com/watch?v=8jGq3DyDeho"
Tezaab,(1988),6,N Chandra,N Chandra,"Anil Kapoor, Madhuri Dixit, Anupam Kher, Chunky Pandey, Kiran Kumar, Anu Kapoor, Mandakini, Suresh Oberoi, Mahavir Shah, Suparna A, Johny Lever",Javed Akhtar,"Laxmikant Kudalkar, Pyarelal","Alka Yagnik, Amit Kumar, Anuradha Paudwal, Nitin Mukesh, Shabbir Kumar, Sudesh Bhosle","https://www.imdb.com/title/tt0096252, http://en.wikipedia.org/wiki/Tezaab",https://www.youtube.com/watch?v=Zd8Jx28bc8E
The Burning Train,(1980),7,Ravi Chopra,B R Chopra,"Dharmendra, Vinod Khanna, Hema Malini, Jeetendra, Parveen Babi, Neetu Singh, Danny Denzongpa, Vinod Mehra, T P Jain, Keshto Mukherjee, Dinesh Thakur, Padmini Kapila, Rajendra Nath, Jagdish Raaj, Ranjeet, Asrani, Komila Virak, Urmila Bhatt, Chandrashekhar, Simi Garewal, Nasir Hussain, Iftekhar, Jankidas, Satyen Kappu, Sujit Kumar, Manmouji, Mac Mohan, Indrani Mukherjee, Mukri, Naveen Nischol, Paintal, Gufi Paintal, Nana Palsikar, Yunus Parvez, Payal, Madan Puri, Shammi, Romesh Sharma, Om Shiv Pur",Sahir Ludhianvi,R D Burman,"Asha Bhosle, Kishore Kumar, Mohammed Rafi, Padmini Kolhapure, Usha Mangeshkar","https://www.imdb.com/title/tt0158534, http://en.wikipedia.org/wiki/The_Burning_Train","https://www.youtube.com/watch?v=b8MRyCQx5Z0, https://www.youtube.com/watch?v=HW0tXl2d_Lw"
The Great Gambler,(1979),5,Shakti Samanta,"Bahadur, C V K Shastry, Vasant (1)","Amitabh Bachchan, Zeenat Aman, Neetu Singh, Helen, Prem Chopra, Iftekhar, Madan Puri, Utpal Dutt, Om Shiv Puri, Sujit Kumar, Roopesh Kumar, Jagdish Raaj, Shetty, Madhu Malhotra, Chandrashekhar, Keshav Rana, Madhoo, Prem Sagar, Rajan Kapoor, N C Pandey, Rehman",Anand Bakshi,"R D Burman, Basu Chakraborty","Amitabh Bachchan, Asha Bhosle, Kishore Kumar, Mohammed Rafi, Sharad Kumar","https://www.imdb.com/title/tt0079236, http://en.wikipedia.org/wiki/The_Great_Gambler",https://www.youtube.com/watch?v=ikZLuaXqX4o
The Hero,(2003),6,Anil Sharma,"Dhirajlal Shah, Hasmukh Shah, Pravin Shah","Sunny Deol, Preity Zinta, Priyanka Chopra, Amrish Puri, Kabir Bedi, Rajpal Yadav, Rajat Bedi, Parvin Dabbas, Shahbaaz Khan, Malaika Arora, Deep Dhillon, Arif Zakaria","Anand Bakshi, Javed Akhtar",Uttam Singh,"Alka Yagnik, Amrish Puri, Hariharan, Jaspinder Narula, Sardool Sikander, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt0347167, http://en.wikipedia.org/wiki/The_Hero:_Love_Story_of_a_Spy",https://www.youtube.com/watch?v=S_26kh9Pgno
The Train,(1970),6,Raveekant Nagaich,Ramesh Behl,"Rajesh Khanna, Nanda, Rajendra Nath, Helen, Aruna Irani, Madan Puri, Tun Tun, Iftekhar, Sunder, Shammi, Rajesh Khattar, Mumtaz Begum, Shetty, Chaman Puri, John",Anand Bakshi,R D Burman,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi, R D Burman","https://www.imdb.com/title/tt0246286, http://en.wikipedia.org/wiki/The_Train_(Hindi_film)",https://www.youtube.com/watch?v=JmekveCpCJI
The Unforgettables (Jagjit Singh),(1976),10,,,,,Jagjit Singh,"Jagjit Singh, Chitra Singh",,
Thoda Pyaar Thoda Magic,(2008),7,Kunal Kohli,"Aditya Chopra, Kunal Kohli","Saif Ali Khan, Rani Mukherjee, Baby Shriya Sharma, Sharat Saxena, Razzak Khan, Mahesh Thakur, Amisha Patel, Ayushi Burman, Rachit Sidana, Akshat Chopra, Rishi Kapoor, Taraana Raja",Prasoon Joshi,"Shankar Mahadevan, Ehsaan Noorani, Loy Mendonca","Anusha Mani, Shankar Mahadevan, Shreya Ghoshal, Sneha Suresh, Sunidhi Chauhan","https://www.imdb.com/title/tt1191138, http://en.wikipedia.org/wiki/Thoda_Pyaar_Thoda_Magic",https://www.youtube.com/watch?v=hl_cbea0QlU
Tohfa,(1984),6,D K Raghvendra Rao,D Rama Naidu,"Jeetendra, Jaya Prada, Sridevi, Kader Khan, Shakti Kapoor, Aruna Irani, Mohan Choti, Urmila Bhat, Jagdeep, Leela Mishra",Indeevar,Bappi Lahiri,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, S.P.Balasubramaniam","https://www.imdb.com/title/tt0125556, http://en.wikipedia.org/wiki/Tohfa","https://www.youtube.com/watch?v=9dVkEa6BTPg, https://www.youtube.com/watch?v=gkx7moQ7MPY"
Umrao Jaan,(1981),10,Muzaffar Ali,Muzaffar Ali,"Rekha, Farooq Sheikh, Naseruddin Shah, Raj Babbar, Shaukat Kaifi, Bharat Bhushan, Satish Shah, Prema Narayan, Dina Pathak, Leela Mishra, Akbar Rashid, Gajanan Jagirdar, Khan Ghizlai, Rita Rani Kaul","Traditional, Shahryar",Khayyam,"Asha Bhosle, Aziz, Jagjeet Kaur, Talat Aziz, Ghulam Mustafa Khan, Runa Prasad, Shahida Khan","https://www.imdb.com/title/tt0083248, http://en.wikipedia.org/wiki/Umrao_Jaan",https://www.youtube.com/watch?v=05RVU9vlqcs
Upkar,(1967),8,Manoj Kumar,,"Manoj Kumar, Asha Parekh, Pran, Prem Chopra, Kamini Kaushal, Kanhaiya Lal, Madan Puri, David, Manmohan Krishan, Sunder, Asit Sen, Mohan Choti, Mahesh, Manmohan, Krishan Dhawan, Tun Tun, Birbal, Aruna Irani, Shammi, Laxmi Chhaya, Ram Mohan, Gulshan Bawra","Gulshan Bawra, Indeevar, Prem Dhawan, Qamar","Kalayanji, Anandji","Asha Bhosle, Lata Mangeshkar, Mahendra Kapoor, Manna Dey, Mohammed Rafi, Mukesh, Shamshad Begum, Sunder","https://www.imdb.com/title/tt0146335, http://en.wikipedia.org/wiki/Upkar","https://www.youtube.com/watch?v=K_VVv_XbxvQ, https://www.youtube.com/watch?v=_zms-5agq9Y"
U Me Aur Hum,(2008),6,Ajay Devgn,Ajay Devgn,"Ajay Devgn, Kajol, Karan Khanna, Isha Sharwani, Sumeet Raghavan, Divya Dutta, Sachin Khedekar, Milind Pathak, Omkar, Prathmesh Mehta, Robin Bhatt, Anita Wahi, Adhir Bhatt, Aditya Singh Rajput, Hazel Croney, Richa Bhattacharya, Vishesh Didwani, Shreshta Bhola, Mrunal Deshpande, Ramu Bashyal, R N Jagtap, Shyam Adhatrao, Suhas Sawarkar, D A Virkar, Meghna Kulkarni",Munna Dhiman,Vishal Bhardwaj,"Adnan Sami, Shreya Ghoshal, Sunidhi Chauhan, Vishal Bhardwaj","https://www.imdb.com/title/tt1039995, http://en.wikipedia.org/wiki/U_Me_Aur_Hum",
Ujala,(1959),8,Naresh Saigal,"F C Mehra, Prakash Mehra","Shammi Kapoor, Mala Sinha, Raaj Kumar, Kumkum, Leela Chitnis, Dhumal, Tun Tun, Indu Shivraj, Rajen Kapoor, Ramesh Sinha, Rafiq, Suresh, Ratna, Rajendra, Mahendra, Shyam Kumar, Raja, Gopal, Baby Shobha","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Manna Dey, Mukesh","https://www.imdb.com/title/tt0157132, http://en.wikipedia.org/wiki/Ujala",https://www.youtube.com/watch?v=rBajxNAFHEw
Uran Khatola,(1955),13,S U Sunny,Naushad Ali,"Dilip Kumar, Nimmi, Jeevan, Surya Kumari, Nawab, Agha, Roop Mala, Amar, Tun Tun",Shakeel Badayuni,Naushad Ali,"Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0048756, http://en.wikipedia.org/wiki/Uran_Khatola","https://www.youtube.com/watch?v=i4UZ0fSGfV0, https://www.youtube.com/watch?v=MybNn8sAh6c"
U R My Jaan,(2011),6,Aron Govil,Aron Govil,"Mikaal Zulfikaar, Priti Soni, Aman Verma, Himani Shivpuri, Rajesh Khera, Anil Dhawan, Aishwarya Sakhuja, Ravi Dubey",Sameer,"Sanjeev, Darshan","Shaan, Shilpa Rao, Sanjeev, Roop Kumar Rathod, Shreya Ghoshal, Richa Sharma, Master Saleem, Javed Ali","https://www.imdb.com/title/tt1847736, http://en.wikipedia.org/wiki/U_R_My_Jaan",
Udta Punjab,(2016),9,Abhishek Chaubey,"Shobha Kapoor, Ekta Kapoor, Sameer Nair, Aman Gill, Vikas Bahl, Vikramaditya Motwane, Anurag Kash","Shahid Kapoor, Alia Bhatt, Kareena Kapoor Khan, Diljit Dosanjh",,,,https://www.imdb.com/title/tt4434004,
Ugly Aur Pagli,(2008),9,Sachin Khot,"Pritish Nandy, Rangita Pritish Nandy","Mallika Sherawat, Ranvir Shorey, Tinu Anand, Sushmita Mukherjee, Payal Rohatgi, Sapna Bhavnani, Zeenat Aman, Vishal Malhotra, Gaurav Kapoor, Sayaji Shinde, Vihang Nayak, Bharti Achrekar, Manish Anand",Amitabh Varma,Anu Malik,"Anmol Malik, Anu Malik, Anushka Manchanda, Dibyendu Mukherji, Hard Kaur, Ishq Bector, Mika Singh, Mohit Chauhan, Shaan, Sunidhi Chauhan, Vasundhara Das","https://www.imdb.com/title/tt1132606, http://en.wikipedia.org/wiki/Ugly_Aur_Pagli",https://www.youtube.com/watch?v=Pdgp8tXFQ_M
Ungli,(2014),6,Rensil Dsilva,"Karan Johar, Hiroo Yash Johar","Sanjay Dutt, Emraan Hashmi, Kangna Ranaut, Angad Bedi, Randeep Hooda, Neil Bhoopalam, Neha Dhupia, Shraddha Kapoor, Shiv Subramaniyam","Amitabh Bhattacharya,  Kumaar,  Manoj Yadav","Salim Merchant, Sulaiman Merchant, Sachin, Jigar, Gulraj Singh, Aslam Keyi",,"https://www.imdb.com/title/tt2392447, https://en.wikipedia.org/wiki/Ungli",
Usne Kaha Tha,(1961),5,Moni Bhattacharya,Bimal Roy,"Sunil Dutt, Nanda, Durga Khote, Asit Sen, Tarun Bose, Rajendra Nath, Misra, Farida Dadi, Leela Mishra, Indrani Mukherjee",Shailendra,Salil Chowdhary,"Lata Mangeshkar, Manna Dey, Mohammed Rafi, Talat Mahmood, Usha Mangeshkar","https://www.imdb.com/title/tt0054430, http://en.wikipedia.org/wiki/Usne_Kaha_Tha",https://www.youtube.com/watch?v=i9FjWUce25o
Ustad And The Divas (Album),(2006),10,,,,,,"Chitra, Sunidhi Chauhan, Shreya Ghoshal, Ustad Sultan Khan",http://en.wikipedia.org/wiki/Ustad_%26_the_Divas,
Umeed,(1962),7,Nitin Bose,Rajan Sahai,"Ashok Kumar, Nanda, Joy Mukerji, Leela Naidu, Tarun Bose, Leela Misra, Chandrima Bhaduri, Hazara Singh, Nazir Kashmiri, Sabita Chatterjee, Jankidas, Tuntun, Agha, Jeevankala, Laxmi Chhaya, Madhumati","Ravi, Shakeel Badayuni",Ravi,"Mahendra Kapoor, Ravi, Asha Bhosle, Usha Mangeshkar",https://www.imdb.com/title/tt0157133,"https://www.youtube.com/watch?v=vN0oa8jIXGI, https://www.youtube.com/watch?v=BqyiXksy98o"
Uphaar,(1971),4,Sudhendru Roy,Tarachand Barjatya,"Swaroop Dutt, Jaya Bachchan, Ratna Mala, Kamini Kaushal, Nandita Thakur, Leela Mishra, Suresh Chatwal, Nana Palsikar, Nandita Thakur, Yunus Parvez",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Lata Mangeshkar, Manna Dey, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0166008, http://en.wikipedia.org/wiki/Uphaar",
Ustadi Ustad Se,(1982),6,Mohan Geha,Gautam Bhatia,"Sonu Nigam, Mithun Chakraborty, Ranjeeta, Vinod Mehra, Padma Khanna, Prema Narayan, Jagdeep","Gauhar Kanpuri, Dalip Tahil, Ravinder Rawal",Ram Lakshman,"Asha Bhosle, Bhupinder Singh, Usha Mangeshkar, Mohammed Rafi, Manna Dey, Amit Kumar, Mahendra Kapoor, Aziz Nazan","https://www.imdb.com/title/tt0945604, http://en.wikipedia.org/wiki/Ustadi_Ustad_Se_(1982_film)","https://www.youtube.com/watch?v=s1y46suuZKQ, https://www.youtube.com/watch?v=-EAe2qRysbM"
Ustadon Ke Ustad,(1963),6,Brij,,"Pradeep Kumar, Shakeela, Ashok Kumar, Johny Walker, Helen, Anwar, Sheikh Mukhtar",Assad Bhopali,Ravi,"Mohammed Rafi, Asha Bhosle, Manna Dey",https://www.imdb.com/title/tt0158314,
Ustadon Ke Ustad,(1998),6,T L V Prasad,D N Joshi,"Mithun Chakraborty, Jackie Shroff, Madhoo, Asrani, Mohan Joshi, Govind Namdev, Avtar Gill, Mushtaq Khan, Johny Lever, Tiku Talsania, Vineeta",,,,"https://www.imdb.com/title/tt0287081, http://en.wikipedia.org/wiki/Ustadon_Ke_Ustad_(1998_film)","https://www.youtube.com/watch?v=Mpj-5yPIZ84, https://www.youtube.com/watch?v=yphBaLTZGTk"
U Bomsi N Me,(2005),9,Jairaj Padmanabhan,Bobby Bahal,"Gautam Rode, Bobby Bahal, Vidya Malvade, Vivek Madan, Kenny Desai, Sonal Sehgal, Kranti Redkar",,,,https://www.imdb.com/title/tt1569529,
Udaan,(2010),7,Vikramaditya Motwane,"Anurag Kashyap, Ronnie Screwvala","Rajat Barmecha, Ronit Roy, Aayan Boradia, Ram Kapoor, Manjot Singh, Anand Tiwari, Suman Mastkar, Raja Hudda, Varun Khettry, Shaunak Sengupta, Akshay Sachdev, Sanjay Gandhi, Arvind Kumar, Jyoti Mishra","Amitabh Bhattacharya, Anurag Kashyap",Amit Trivedi,"Joi Barua, Neuman Pinto, Amit Trivedi, Amitabh Bhattacharya, Mohan (1), Raman Mahadevan, Bonnie Chakraborty, Kshitij, Shriram Ayyar, Tochi Raina, Anurag Kashyap","https://www.imdb.com/title/tt1639426, http://en.wikipedia.org/wiki/Udaan_(2010_film)",https://www.youtube.com/watch?v=NJlZV4pfzfc
Udaan,(1996),6,Asrani,"Lalit Kapoor, Guddu Dhanoa, Raju Narula","Rekha, Madhoo, Prem Chopra, Danny Denzongpa, Mohnish Bahl, Saeed Jaffrey, Asrani, Deven Verma, Raj Babbar, Mohan Joshi, Anupam Kher, Achyut Potdar, Dalip Tahil",,,,"https://www.imdb.com/title/tt0287065, http://en.wikipedia.org/wiki/Udaan_%281997_film%29",
Udaas Pani,(2003),8,,,,Gulzar,Abhishek Ray,,,
Vachan,(1955),8,Raj Rishi,,"Rajendra Kumar, Geeta Bali, Balraj Sahni, Neelima, S K Prem, Alhad Radha Krishnan, Raajdeep",Prem Dhawan,Ravi,"Asha Bhosle, Ravishankar, Mohammed Rafi","https://www.imdb.com/title/tt1262150, http://en.wikipedia.org/wiki/Vachan","https://www.youtube.com/watch?v=YNQCe68k34Y, https://www.youtube.com/watch?v=iIBN3OSys4E"
Veer,(2010),8,Anil Sharma,"Sunil A. Lulla, Vijay Galani","Salman Khan, Sohail Khan, Mithun Chakraborty, Jackie Shroff, Zarine Khan, Lisa Lazarus, Gita Soto, Neena Gupta, Bharat Dabholkar, Shahbaaz Khan, Puru Raaj Kumar, Tim Laurence, William Chubb, Rajesh Vivek, Ashok Samarth, Vinay Apte, Yogesh Suri, Surendra Singh, Yuri Suri, Roy Brongsheet, Aryan Vaid, Bunny Anand",Gulzar,"Sajid, Wajid","Neuman Pinto, Rahat Fateh Ali Khan, Rekha Bhardwaj, Roop Kumar Rathod, Shabaab Sabri, Sharib Sabri, Shreya Ghoshal, Sonu Nigam, Sukhwinder Singh, Sunidhi Chauhan, Suzanne D'Mello, Toshi Sabri, Wajid","https://www.imdb.com/title/tt1185412, http://en.wikipedia.org/wiki/Veer_%28film%29",
Veer Zaara,(2004),11,Yash Chopra,"Aditya Chopra, Yash Chopra","Amitabh Bachchan, Hema Malini, Shahrukh Khan, Preity Zinta, Rani Mukherjee, Manoj Bajpai, Divya Dutta, Akhilendra Mishra, Kirron Kher, Boman Irani, Anupam Kher, Zohra Sehgal, Tom Alter, Gurdas Mann, S. M. Zaheer, Rushad Rana",Javed Akhtar,Madan Mohan,"Ahmed Hussain, Gurdas Mann, Jagjit Singh, Javed Hussain, Lata Mangeshkar, Mohd. Hussain, Mohd. Vakil, Pritha Majmumdar, Roop Kumar Rathod, Sonu Nigam, Udit Narayan","https://www.imdb.com/title/tt0420332, http://en.wikipedia.org/wiki/Veer_Zaara",https://www.youtube.com/watch?v=kFNaqX-dvPM
Victoria No. 203,(1972),4,Brij,Brij,"Naveen Nischol, Saira Banu, Anwar Hussan, Ashok Kumar, Pran, Helen, Mohan Choti, Pratima Devi, Jankidas, Anoop Kumar, Shetty, Meena Rai, Ranjeet, Lolita Chatterjee, Moolchand",Varma Malik,"Kalayanji, Anandji","Kishore Kumar, Lata Mangeshkar, Mahendra Kapoor","https://www.imdb.com/title/tt0158331, http://en.wikipedia.org/wiki/Victoria_No._203",
Vidhaata,(1982),8,Subhash Ghai,Sulshan Rai,"Dilip Kumar, Sanjay Dutt, Padmini Kolhapure, Sarika, Shammi Kapoor, Sanjeev Kumar, Amrish Puri, Madan Puri, Suresh Oberoi, Jagdeep, Nadira, Komila Virak, Sudha, Komila, Viju Khote, Mukri, Narendra Bedi",Anand Bakshi,"Kalayanji, Anandji","Alka Yagnik, Anand Bakshi, Anuradha Paudwal, Asha Bhosle, Kishore Kumar, Sadhana Sargam, Suresh Wadkar","https://www.imdb.com/title/tt0084866, http://en.wikipedia.org/wiki/Vidhaata",
Vishwanath,(1978),7,Subhash Ghai,Pawan Kumar,"Shatrughan Sinha, Reena Roy, Pran, Premnath, Madan Puri, Ranjeet, Jagdish Raaj, Reeta Bhaduri, Rajan Haksar, Satyen Kappu, Parikshat Sahni, Hari Shivdasani, Sulochna, Iftekhar, Sapru, Lalita Pawar, Viju Khote, Birbal, Sudhir","Anjaan, M G Hashmat, Vithalbhai Patel",Rajesh Roshan,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Manna Dey",https://www.imdb.com/title/tt0215338,
Vishwas,(1969),6,Kewal P Kashyap,,"Jeetendra, Aparna Sen, Asit Sen, Man Mohan, Kamini Kaushal, Bharat Bhushan, Mehmood, Rajender Nath",Gulshan Bawra,Kalyanji Anandji,"Asha Bhosle, Lata Mangeshkar, Suman Kalyanpur, Usha Timothy, Hemlata, Mukesh, Mahendra Kapoor",https://www.imdb.com/title/tt0362283,https://www.youtube.com/watch?v=bc3MgoLjLLo
Vivah,(2006),10,Sooraj Barjatya,"Ajit Kumar Barjatya, Kamal Kumar Barjatya, Rajkumar Barjatya","Shahid Kapoor, Amrita Rao, Anupam Kher, Alok Nath, Seema Biswas, Sameer Soni, Manoj Joshi, Jatin Siyal, Dinesh Lamba, Goolshan Mazd, Amrita Prakash, Lata Sabharwal, Amey Pandya (Child Artist), Mrinal Deshraj, Mohnish Behl, Yusuf Hussain, Shreya Sharma, Aditi Bhatia, Anita Wahi, Baby Maariayah Khatri, Chirag Channa, Jaspreet Singh",Ravindra Jain,Ravindra Jain,"Aparnaa Bhaagwat, Babul Supriyo, Kumar Sanu, Pamela Jain, Ravindra Jain, Shreya Ghoshal, Sudesh Bhosle, Suresh Wadkar, Udit Narayan","https://www.imdb.com/title/tt0494290, http://en.wikipedia.org/wiki/Vivah",https://www.youtube.com/watch?v=SqjGILKcj_M
Virasat,(1997),7,Priyadarshan,Mushir Riaz,"Anil Kapoor, Tabu, Pooja Batra, Milind Gunaji, Govind Namdeo, Amrish Puri, Sulbha Deshpande, Neeraj Vora, Satyen Kappu, Reeta Bhaduri, Dilip Dhawan, Tiku Talsania",Javed Akhtar,Anu Malik,"Abhijeet, Alka Yagnik, Anuradha Paudwal, Chitra, Hariharan, Jaspinder Narula, Kumar Sanu, Udit Narayan, Vinod Rathod","https://www.imdb.com/title/tt0120456, http://en.wikipedia.org/wiki/Virasat_%281997_film%29",https://www.youtube.com/watch?v=MQ4-7GPeaLw
Veere Di Wedding,(2018),9,Shashanka Ghosh,"Anil Kapoor, Ekta Kapoor, Nikhil Dwivedi, Rhea Kapoor, Shobha Kapoor","Akanksha Malhotra, Alka Kaushal, Anjum Rajabali, Ayesha Raza, Bubbles Sabharwal, Edward Sonnenblick, Ekavali Khanna, Gavie Chahal, Ishwak Singh, Javed Sheikh, Kamlesh Gill, Kareena Kapoor Khan, Kavita Ghai, Manoj Pahwa, Neena Gupta, Shikha Talsania, Sonam Kapoor, Sukesh Arora, Sumeet Vyas, Suraj Singh, Swara Bhaskar, Vishwas Kini, Vivek Mushran","Shellee, Gaurav Solanki, White Noise, Anvita Dutt, Shashwat Sachdev, Raj Shekhar, Qaran, Badshah, Rupin Pahwa","Shashwat Sachdev, White Noise, Vishal Mishra, Qaran, DJ Shilpi Sharma","Sunidhi Chauhan, Shashwat Sachdev, Neha Kakkar, Romy, Surya Ragunaathan, Divya Kumar, Jasleen Royal, Vishal Mishra, Aditi Singh Sharma, Dhvani Bhanushali, Nikita Ahuja, Payal Dev, Sharvi Yadav, Iulia Vantur, Arijit Singh, Badshah","https://www.imdb.com/title/tt5842616, https://en.wikipedia.org/wiki/Veere_Di_Wedding",
Vicky Donor,(2012),8,Shoojit Sircar,"Sunil A Lulla, John Abraham, Ronnie Lahiri","Annu Kapoor, Ayushman Khurana, Yami Gautam, Dolly Ahluwalia, Kamlesh Gill, Jayant Das, Swaroopa Ghosh, Bhupesh Kumar, Inderpal Singh, Krishna Bisht, Kiran Lall, John Abraham","Akshay Verma, Juhi Chaturvedi, Kusum Verma, Ayushman Khurana, Rochak Kohli, Swanand Kirkire, Vijay Maurya","Abhishek Verma, Akshay Verma, Ayushman Khurana, Rochak Kohli, Donn, Bann","Akshay Verma, Aditi Singh Sharma, Clinton Cerejo, Ayushman Khurana, Vishal Dadlani, Sunidhi Chauhan, Mika Singh, Sukanya Purkayastha, Bann","https://www.imdb.com/title/tt2317337, http://en.wikipedia.org/wiki/Vicky_Donor",
Victoria No. 203,(2007),6,Anant Mahadevan,Kamal Sadanah,"Om Puri, Anupam Kher, Jimmy Sheirgill, Preeti Jhangiani, Sonia Mehra, Kamal Sadanah, Jaaved Jaaferi, Tora Khasgir, Rajesh Khera, Ameya Hunaswadkar","Indeevar, Asif Ali Beg, Chandrashekhar Rajit, Varma Malik",Viju Shah,"Dominique Cerejo, Amit Kumar, Udit Narayan, Shaan, Shreya Ghoshal, Zubin, Annika","https://www.imdb.com/title/tt1095038, http://en.wikipedia.org/wiki/Victoria_No._203_%282007_film%29","https://www.youtube.com/watch?v=7g_tTd3WqD0, https://www.youtube.com/watch?v=GajW1sSDnLg"
Vijay,(1988),7,Yash Chopra,Yash Chopra,"Anil Kapoor, Meenakshi Seshadri, Anupam Kher, Shakti Kapoor, Sonam, Gulshan Grover, Parikshat Sahni, Parijat, Arjun, Rishi Kapoor, Rajesh Khanna, Raj Babbar, Moushmi Chatterjee, Saeed Jaffrey, Manmohan Krishan, Hema Malini, Vikas Anand, Neil Nitin Mukesh",Nida Fazli,Shiv Hari,"Asha Bhosle, Lata Mangeshkar, Suresh Wadkar, Vinod Rathod, Anupam Kher, Pooja Chopra","https://www.imdb.com/title/tt0096390, http://en.wikipedia.org/wiki/Vijay_(film)",
Viruddh,(2005),9,Mahesh Manjrekar,,"Amitabh Bachchan, Sharmila Tagore, Sanjay Dutt, John Abraham, Prem Chopra, Sharat Saxena, Beena, Shivaji Satam, Sachin Khedekar, Amitabh Dayal, Anousha Dandekar, Tom Alter, Ninad Kamat, Viju Khote, Bipasha Basu, Srivallabh Vyas, Atul Kale",Mir Taqi Mir,"Anand Raj Anand, Roop Kumar Rathod, Bhavdeep Jaipurwale, Ashit Desai, Ajay Atul, Violin Brothers","Abida Parveen, Ajit Parab, Jagjit Singh, Roop Kumar Rathod, Shankar Mahadevan, Sonali Rathod, Violin Brothers","https://www.imdb.com/title/tt0420304, http://en.wikipedia.org/wiki/Viruddh","https://www.youtube.com/watch?v=W9QTcsdGeXI, https://www.youtube.com/watch?v=MHX9AwCqZpY"
Vaada Raha... I Promise,(2009),10,Samir Karnik,"Samir Karnik, Sunil A. Lulla","Bobby Deol, Kangna Ranaut, Dwij Yadav, Mohnish Behl, Sharat Saxena, Vivek Shauq, Prateeksha Lonkar, Atul Agnihotri, Farida Dadi, Sanjeev Mehra","Sandeep Nath, A.M. Turaz, Babbu Mann, Rahul Seth, Sandy","Monty Sharma, Toshi Sabri, Sharib Sabri, Babbu Mann, Gourov Dasgupta, Rahul Seth, Sandy, Sanjoy Chowdhary","Parthiv Gohil, Shail Hada, Toshi Sabri, Babbu Mann, Shaan, Shweta Pandit, Kunal Ganjawala","https://www.imdb.com/title/tt1512321, http://en.wikipedia.org/wiki/Vaada_Raha",
