Artists,Title,Rating,Number of Votes,Movie Title
"Alka Yagnik, Hariharan","Tum Bhee Na Mano, Mai Bhee Na Manu",3.80,5,The Hero
"Sunidhi Chauhan, Udit Narayan",Inn Mast Nigaaho Se Mujhko Na Pila Dena,3.17,6,The Hero
Mohammed Rafi,Gulaabi Aankhen Jo Teri Dekhin Sharaabi Ye Dil Ho Gayaa,4.35,210,The Train
Asha Bhosle,Chaiyya Re Chaiyya Re Taro Ki Chaiya Saiya Re Saiya Chupake Saiya,4.67,21,The Train
"Mohammed Rafi, Lata Mangeshkar",Ni Soniye Chhod Bedardi Aanchal Mera,4.59,32,The Train
Lata Mangeshkar,"Kis Liye Maine Pyaar Kiya, Dil Ko Yuhi Beqarar Kiya",4.53,32,The Train
Asha Bhosle,Maine Dil Abhi Diya Nahi Mai Abhi Kya Janu,4.77,13,The Train
"R D Burman, Asha Bhosle",O Meri Jaan Maine Kaha,4.62,13,The Train
Jagjit Singh,Baat Nikalegi To Phir Dur Talak Jaayegi,4.43,640,The Unforgettables (Jagjit Singh)
"Jagjit Singh, Chitra Singh",Bahut Pehle Se Un Kadmo Ki Aahat,4.39,51,The Unforgettables (Jagjit Singh)
Jagjit Singh,Dost Ban Ban Ke Mile Mujhako Mitaane Vaale,4.47,43,The Unforgettables (Jagjit Singh)
Chitra Singh,Dard Badkar Fugan Na Ho Jaya,4.45,31,The Unforgettables (Jagjit Singh)
Jagjit Singh,Sarakati Jaaye Rukh Se Naqaab Aahistaa Aahistaa,4.28,43,The Unforgettables (Jagjit Singh)
Chitra Singh,Raat Bhi Nind Bhi Kahani Bhi,4.74,19,The Unforgettables (Jagjit Singh)
Chitra Singh,Ek Na Ek Shama Andhere Me Jalaye Rakhiye,4.40,10,The Unforgettables (Jagjit Singh)
Jagjit Singh,Gam Bade Aate Hain Kaatil Ki Nigaahon Ki Tarah,4.36,14,The Unforgettables (Jagjit Singh)
Jagjit Singh,Aaye Hain Samajhaane Log,4.83,6,The Unforgettables (Jagjit Singh)
Chitra Singh,Kisi Ranjish Ko Hawa Do,4.33,9,The Unforgettables (Jagjit Singh)
"Sneha Suresh, Shreya Ghoshal",Beete Kal Se,4.50,12,Thoda Pyaar Thoda Magic
Anusha Mani,Lazy Lamhe,3.75,12,Thoda Pyaar Thoda Magic
"Sunidhi Chauhan, Shankar Mahadevan",Bulbula Bulbula Are Main To Albela,4.00,8,Thoda Pyaar Thoda Magic
Shankar Mahadevan,Teri Ik Najar Se Zingagi Nihaal Ho Gayi,4.00,2,Thoda Pyaar Thoda Magic
Anusha Mani,Lazy Lamhe (Dj Aqeel Remix),3.13,8,Thoda Pyaar Thoda Magic
Shankar Mahadevan,Nihaal Ho Gayi (Dj Aqeel Remix),3.00,1,Thoda Pyaar Thoda Magic
Shankar Mahadevan,Pyaar Ke Liye,3.00,1,Thoda Pyaar Thoda Magic
"Kishore Kumar, Asha Bhosle","Ek Aankh Maru To, Chhori Pat Jaye",4.45,29,Tohfa
"Asha Bhosle, Kishore Kumar",Pyaar Kaa Tohafaa Teraa Banaa Hai Jivan Meraa,4.33,30,Tohfa
"Asha Bhosle, Kishore Kumar",Gori Tere Ang Ang Mein Roop Rang Ke,3.83,46,Tohfa
"Kishore Kumar, Lata Mangeshkar",Mahaki Kyu Gali Gali Khili Kyu Kali Kali,4.45,11,Tohfa
"Kishore Kumar, Asha Bhosle",Milan Maujo Se Maujo Ka,4.83,6,Tohfa
"S P Balasubramaniam, Asha Bhosle",O Milan Maujon Ka,4.50,6,Tohfa
Asha Bhosle,In Ankhon Ki Masti Ke Mastane Hazaron Hain,4.49,340,Umrao Jaan
Asha Bhosle,"Dil Chiz Kya Hai, Aap Meri Jaan Lijiye",4.42,384,Umrao Jaan
Asha Bhosle,Ye Kya Jagah Hai Doston,4.41,116,Umrao Jaan
Asha Bhosle,Justaju Jisaki Thi Usako To Na Paayaa Hamane,4.47,53,Umrao Jaan
Talat Aziz,Zindagi Jab Bhi Teri Bazm Men Laati Hai Hamen,4.44,99,Umrao Jaan
Jagjit Kaur,"Kaaheko Byaahe Bides, Are Lakhiyan Baabul Mohe",4.45,20,Umrao Jaan
Asha Bhosle,"Jab Bhee Miltee Hai Mujhe, Ajnabi Lagti Kyon Hai",3.64,22,Umrao Jaan
"Runa Prasad, Ustad Ghulam Mustafa",Pratham Dhar Dhyaan Dinesh,4.40,10,Umrao Jaan
Shahida Khan,Jhula Kinne Dala Re Amraiya,4.00,13,Umrao Jaan
Shahida Khan,Jhoola Kinne Dala Re Hum Rahiya Jhoole Mora Sayia,4.00,6,Umrao Jaan
Manna Dey,Kasmen Wade Pyar Wafa Sab Baaten Hain,4.45,325,Upkar
Mahendra Kapoor,"Mere Desh Ki Dharati, Sonaa Ugale Ugale Hire Moti",4.14,306,Upkar
Lata Mangeshkar,Har Khushi Ho Waha Tu Jaha Bhi Rahe,4.47,66,Upkar
"Sunder, Shamshad Begum, Asha Bhosle, Manna Dey, Mahendra Kapoor","Aayi Jhum Ke Basant, Jhoomo Sang Sang Mein",4.40,30,Upkar
Mohammed Rafi,Kali Ye Kali Raat,4.32,19,Upkar
Asha Bhosle,Gulabi Raat Gulabi,4.28,18,Upkar
Mukesh,Divaanon Se Ye Mat Puchho,4.47,68,Upkar
Mahendra Kapoor,Mere Desh Ki Dharti Sona Ugle (Sad),4.00,43,Upkar
"Adnan Sami, Shreya Ghoshal",Dil Dhakda Hai,4.00,2,U Me Aur Hum
"Adnan Sami, Shreya Ghoshal",Jee Le Jee Le Ishq Me,4.00,3,U Me Aur Hum
Sunidhi Chauhan,Saheli Jaisa Saiya,4.00,2,U Me Aur Hum
"Sunidhi Chauhan, Adnan Sami",Phatte Phattenu Ghumake Rakh De,3.00,1,U Me Aur Hum
Shreya Ghoshal,U Me Aur Hum (Female),3.00,1,U Me Aur Hum
Vishal Bharadwaj,U Me Aur Hum - II,3.00,1,U Me Aur Hum
Lata Mangeshkar,"Tera Jalwa Jisne Dekha, Woh Tera Ho Gaya",4.46,168,Ujala
"Manna Dey, Lata Mangeshkar",Jhumata Mausam Mast Mahina,4.36,226,Ujala
Mukesh,Duniya Walo Se Dur Jalne Walo Se Dur,4.57,61,Ujala
Manna Dey,"Ab Kaha Jaye Hum, Ye Bata Aye Zameen",4.32,82,Ujala
Lata Mangeshkar,Ho Mora Nadaan Balma Na Jane Ji Ki Baat,4.25,95,Ujala
"Manna Dey, Lata Mangeshkar",Chham Chham Lo Suno Chham Chham O Suno,4.60,42,Ujala
Manna Dey,"Suraj Jara Aa Paas Aa, Aaj Sapnon Ki Roti Pakayenge Hum",4.53,45,Ujala
"Mohammed Rafi, Mukesh",Yaaro Surat Hamaaree Pe Mat Jaao,4.13,30,Ujala
Mohammed Rafi,"Chale Aaj Tum Jahaan Se, O Dur Ke Musaafir",4.49,424,Uran Khatola
Lata Mangeshkar,"Meraa Salaam Le Ja, Dil Kaa Payaam Le Ja",4.39,295,Uran Khatola
Lata Mangeshkar,"Hayyaa Ho Hayyaa Re, More Saiyaanji Utarenge Paar Ho",4.30,117,Uran Khatola
Mohammed Rafi,"Mohabbat Ki Raho Me, Chalna Sambhal Ke",4.50,60,Uran Khatola
Lata Mangeshkar,Tum Na Aaye,4.49,51,Uran Khatola
Lata Mangeshkar,Hamaare Dil Se Na Jaanaa,4.24,63,Uran Khatola
Mohammed Rafi,"Sambhalakar Khelanaa, Naa Tufaan Se Khelo",4.62,39,Uran Khatola
Lata Mangeshkar,Ghar Aaya Mehmaan Koyee,4.53,36,Uran Khatola
Lata Mangeshkar,"Haale Dil Mai Kya Kahu, Mushkil Hai Mere Saamane",4.27,33,Uran Khatola
Lata Mangeshkar,Na Roye Dil Kahin Rone Se,4.23,31,Uran Khatola
Lata Mangeshkar,Dubaa Taaraa Ummidon Kaa Sahaaraa Chhut Gayaa,4.10,42,Uran Khatola
Lata Mangeshkar,Garibo Ko Tu Ai Duniya Sata Le,4.07,14,Uran Khatola
,Uran Khatola (Dance Music),4.71,7,Uran Khatola
"Sanjeev, Shilpa Rao",Tum Se Jude Hai Armaan U R My Jaan,4.33,3,U R My Jaan
"Richa Sharma, Master Saleem","Bin Tere We Mahi, Bin Tere",3.80,5,U R My Jaan
"Javed Ali, Shreya Ghosal","Chaand Wahi Hai, Raat Alag Hai",3.00,1,U R My Jaan
Shaan,Kya Kare Dil Bechara,3.00,1,U R My Jaan
Shreya Ghoshal,Mai Zamin Pe Hu Aasman Me Hu,3.00,1,U R My Jaan
Roop Kumar Rathod,"Mera Maula Kare, Mera Maula Kare",3.00,1,U R My Jaan
Shahid Mallya,Ik Kudi Jida Nam Mohabbat,4.67,12,Udta Punjab
Diljit Dosanjh,Ikk Kudi (Reprised Version),4.21,14,Udta Punjab
"Amit Trivedi, Vishal Dadlani",Ud-Da Punjab,4.50,4,Udta Punjab
Amit Trivedi,Vadiya Lagda Hai,4.33,3,Udta Punjab
"Babu Haabi, Kanika Kapoor",Da Da Dasse,4.00,7,Udta Punjab
"Diljit Dosanjh, Alia Bhatt",Ikk Kudi (Club Mix),4.00,6,Udta Punjab
Shahid Mallya,Has Nach Le,3.50,2,Udta Punjab
"Amit Trivedi, Vishal Dadlani",Ud Da Punjab,3.38,8,Udta Punjab
"Shahid Mallya, Bhanu Pratap, Babu Haabi",Chitta Ve,3.00,1,Udta Punjab
Mohit Chauhan,Yaad Teri Aaye,3.87,155,Ugly Aur Pagli
"Ishq Bector, Anushka Manchanda",Karle Gunaah,4.75,4,Ugly Aur Pagli
"Mika Singh, Hard Kaur, Anmol Malik",Talli Main Talli Ho Gayi,4.75,4,Ugly Aur Pagli
"Hard Kaur, Anmol Malik, Mika Singh",Talli Mai Talli Ho Gayi (Remix),4.00,2,Ugly Aur Pagli
"Vasundhara Das, Dibyendu Mukherjee, Anu Malik",Just Shut Up Shut Up Aa Nachle,3.00,1,Ugly Aur Pagli
"Ishq Bector, Krishna Beura",Karle Gunaah (2),3.00,1,Ugly Aur Pagli
"Anushka Manchanda, Ishq Bector",Karle Gunaah (Remix),3.00,1,Ugly Aur Pagli
"Hard Kaur, Anu Malik",Talli Mai Talli Ho Gayi (2),3.00,1,Ugly Aur Pagli
"Shaan, Sunidhi Chauhan",Yeh Nazar Aur Yeh Adayein,3.00,1,Ugly Aur Pagli
"Anushka Manchanda, Vishal Dadlani",Dance Basanti,4.03,134,Ungli
"Dev Negi, Shipra Goyal",Ungli Pe Nachale,4.15,67,Ungli
Gulraj Singh,"Pakeezah, Ishq Tera Mera Rab Se Zyada",3.98,41,Ungli
"Neeti Mohan, Vishal Dadlani",Aadarniya Ungli,3.00,1,Ungli
Armaan Malik,Auliya,3.00,1,Ungli
"Anushka Manchanda, Vishal Dadlani",Dance Basanti (Remix),3.00,1,Ungli
"Lata Mangeshkar, Talat Mahmood",Aha Rimjhim Ke Yeh Pyare Pyare Geet Liye,4.50,216,Usne Kaha Tha
"Mohammed Rafi, Manna Dey",Chalte Hi Jana Jaha Tak Aaj Ye Raah Chale,4.77,22,Usne Kaha Tha
"Lata Mangeshkar, Mohammed Rafi",Bal Khati Sharmati Aaja,4.65,23,Usne Kaha Tha
Manna Dey,Jaane Vaale Sipahi Se Puchho Vo Kahaan Jaa Rahaa Hai,4.65,31,Usne Kaha Tha
Lata Mangeshkar,Machalati Aarazu Khadi Baanhen Pasaare,4.47,30,Usne Kaha Tha
"Shreya Ghoshal, Ustad Sultan Khan",Leja Leja Re Mehakee Raat Me,4.25,154,Ustad And The Divas (Album)
"Ustad Sultan Khan, Chithra K S",Haay Re Raat Bhar Jaagatee Hu Tere Wasate,4.60,10,Ustad And The Divas (Album)
"Ustad Sultan Khan, Chithra K S",Rangilo Rut Aayo Maaro Gaanv Re,4.18,11,Ustad And The Divas (Album)
"Sunidhi Chauhan, Ustad Sultan Khan",Billo Re (Remix By Dj Mit),4.50,6,Ustad And The Divas (Album)
"Sunidhi Chauhan, Ustad Sultan Khan",More Piya Ke Lambe Lambe Kes,3.38,8,Ustad And The Divas (Album)
"Sunidhi Chauhan, Ustad Sultan Khan",Billo (Club Mix),3.00,1,Ustad And The Divas (Album)
"Ustad Sultan Khan, Sunidhi Chauhan",Billo Re,3.00,1,Ustad And The Divas (Album)
"Ustad Sultan Khan, Sunidhi Chauhan","Haaniya Yaariya, Yaariya Tumhee Se Lagiya",3.00,1,Ustad And The Divas (Album)
"Shreya Ghoshal, Ustad Sultan Khan",Leja Leja (Club Mix),3.00,1,Ustad And The Divas (Album)
"Shreya Ghoshal, Ustad Sultan Khan",Leja Leja (Reggaetton Mix),1.00,1,Ustad And The Divas (Album)
Mohammed Rafi,"Mujhe Ishq Hai Tujhi Se, Meri Jaan E Jindgani",4.48,136,Umeed
Asha Bhosle,Hamne Chaaha Magar Keh Na Paaye,4.56,16,Umeed
"Asha Bhosle, Usha Mangeshkar","Dil Ko Bachaana Baabu Jee, Na Aana Phir Kabhi Hasino Ki Gali",4.50,4,Umeed
Ravi,Mera Dil Hai Pyar Ka Aashiya,4.50,4,Umeed
Ravi,Insaan Ji Raha Hai,4.00,5,Umeed
Asha Bhosle,"Thodi Si Aur Pee Le O Rangeele, Phir Allah Hi Allah",4.00,3,Umeed
"Mahendra Kapoor, Usha Mangeshkar","Aaja Meri Jaan Tere Qurbaan Tera Deewaana, Karle Mujhse Pyaar",3.80,5,Umeed
Mohammed Rafi,"Mai Ek Raaja Hu, Tu Ek Rani Hai",4.47,120,Uphaar
Mukesh,Chhal Chhal Bahati Jiwan Dhara,4.61,38,Uphaar
Lata Mangeshkar,"Haathon Men Mehandi, Bol Re Mere Gudde Tujhe Guddi Kubul",4.35,23,Uphaar
Lata Mangeshkar,"Sunee Re Nagariya, Sunee Re Sejariya",4.65,17,Uphaar
"Usha Mangeshkar, Asha Bhosle","Saathi Tere Naam, Ek Din, Jivan Kar Jaayenge",4.30,89,Ustadi Ustad Se
"Amit Kumar, Aziz Nazan, Mahendra Kapoor",O Walio Me Wali Makdum Alla Re Alla,4.13,72,Ustadi Ustad Se
"Asha Bhosle, Bhupinder Singh",Saathi Tere Naam Ek Din,4.37,27,Ustadi Ustad Se
"Mohammed Rafi, Asha Bhosle",Mera Nam Anjano Me Meri Ruh Diwano Me,4.60,5,Ustadi Ustad Se
"Manna Dey, Mohammed Rafi, Asha Bhosle",Nahi Chalegi Nahi Chalegi Ustadi Ustad Se,4.50,2,Ustadi Ustad Se
"Asha Bhosle, Amit Kumar",Dekhe Sau Thikane Par Tumsa Nahi Mila,3.00,1,Ustadi Ustad Se
Mohammed Rafi,Sau Baar Janam Lenge Sau Baar Fanah,4.49,166,Ustadon Ke Ustad
Mohammed Rafi,Hasino Se To Bas Sahab Salamat Dur Ki Achhi,4.76,21,Ustadon Ke Ustad
"Mohammed Rafi, Asha Bhosle, Manna Dey",Milte Hi Nazar Tumse Ham Ho Gaye Diwane,4.44,41,Ustadon Ke Ustad
"Asha Bhosle, Mohammed Rafi",Mere Dil Ko Jiski Talash Thi Maine Vo Sitamghar Pa Liya,4.67,18,Ustadon Ke Ustad
"Mohammed Rafi, Asha Bhosle","Mainne Kahaa Thaa Aanaa Sunday Ko, Sunday Ko",4.62,13,Ustadon Ke Ustad
"Ravi, Asha Bhosle",Raat Chup Hai Chandni Madhosh Hai,4.33,15,Ustadon Ke Ustad
"Anuradha Paudwal, Mohammad Aziz",Nigahe Khul Ke Mila Nain Kyu Churata Hai,3.92,88,Ustadon Ke Ustad
"Abhijeet, Anuradha Paudwal",Kiya Hoga Allah Jane,4.19,27,Ustadon Ke Ustad
"Lalit Sen, Poornima",Jawani Char Din Ki Chandni Hai Maze Le Lo,3.49,35,Ustadon Ke Ustad
"Anuradha Paudwal, Bali Brahmbhatt",Sone Si Jawani Teri Rab Ka Kamal Hai,4.14,14,Ustadon Ke Ustad
"Udit Narayan, Poornima",Gore Gore Paon Mein,4.00,5,Ustadon Ke Ustad
Amit Kumar,Ustadon Ke Ustad,3.00,1,Ustadon Ke Ustad
Neeraj Shridhar,Kaha Ho Tum Mujhe Bataao,3.00,1,U Bomsi N Me
Vasundhara Das,Yeh Zindagi Hain,3.00,1,U Bomsi N Me
"Sonu Nigam, Shreya Ghoshal",Aankho Me,1.00,1,U Bomsi N Me
Hariharan,Dil Kahi Ko Kho Gaya,1.00,1,U Bomsi N Me
,Dil Kahi Ko Kho Gaya (Instrumental),1.00,1,U Bomsi N Me
Shreya Ghoshal,Halki Halki (Female),1.00,1,U Bomsi N Me
K. K.,Halki Halki (Male),1.00,1,U Bomsi N Me
Josh,Josh Naal,1.00,1,U Bomsi N Me
Shreya Ghoshal,Tu Kaha Kho Gaya,1.00,1,U Bomsi N Me
"Neuman Pinto, Joi Barua, Amit Trivedi",Nadi Mein Talab Hai,4.60,5,Udaan
"Joi Barua, Neuman Pinto",Aankhon Ke Pardo Pe,4.00,3,Udaan
,Theme Of Udaan,4.00,2,Udaan
"Amit Trivedi, Neuman Pinto, Amitabh Bhattacharya",Pairon Ki Bediyan,3.80,5,Udaan
Mohan,Chadhti Lehrein Laang Na Paye,3.50,4,Udaan
"Amit Trivedi, Amitabh Bhattacharya",Geet Mein Dhalte Lafzon Mein,3.50,2,Udaan
"Raman Mahadevan, Amitabh Bhattacharya, Bonnie Chakraborty, Kshitij, Shriram Ayyar, Tochi Raina, Amit Trivedi, Anurag Kashyap",Iski Maa Agar Isse Pait Mein Hi Maar Deti,3.00,1,Udaan
"Bela Sulakhe, Vinod Rathod",Chahu Tujhe Raat Din,4.33,12,Udaan
"Alka Yagnik, Kumar Sanu",Kal Raat Sapne Me,4.33,3,Udaan
"Poornima, Abhijeet",Angreji Bhasha Me,3.50,2,Udaan
Shweta Shetty,Chhat Ke Upar Soi Thi,3.50,2,Udaan
"Alka Yagnik, Kumar Sanu",Jab Jab Dekhun Tujhe,3.40,5,Udaan
"Kumar Sanu, Alka Yagnik",Baadal Garja Bijli Chamki,3.14,7,Udaan
,Chand Kee Peshaani,3.00,1,Udaas Pani
,Ek Nazm,3.00,1,Udaas Pani
,Shikaar,3.00,1,Udaas Pani
,Taskin,3.00,1,Udaas Pani
,Teri Aankhon,3.00,1,Udaas Pani
,Udaas Pani,3.00,1,Udaas Pani
,Alaav,1.00,1,Udaas Pani
,Kab Aate Ho,1.00,1,Udaas Pani
Asha Bhosle,Chandaamaamaa Dur Ke Pue Pakaaen Bur Ke,4.32,200,Vachan
"Mohammed Rafi, Asha Bhosle",Ek Paisa De De O Baabu,4.00,63,Vachan
"Mohammed Rafi, Asha Bhosle",Jab Liya Haath Me Haath Nibhaana Saath,4.64,33,Vachan
Asha Bhosle,Wo Din Kaha Gaye Mere,4.50,12,Vachan
"Mohammed Rafi, Asha Bhosle",Koyi Jahan Mein Humaari Tarah,4.10,10,Vachan
Asha Bhosle,Iss Jahan Me Hame Aise Jina Pada,4.56,9,Vachan
Asha Bhosle,Yu Hi Chupake Chupake Bahane Bahane,4.17,6,Vachan
Asha Bhosle,Zara Sikh Lo Ankhiyo Sharmana,3.86,7,Vachan
"Shreya Ghoshal, Roop Kumar Rathod",Dabi Dabi Saanson Mein Suna Tha Maine,4.34,341,Veer
"Rahat Fateh Ali Khan, Suzanne D Mello",Surili Ankhiyon Wale,4.27,51,Veer
Sonu Nigam,Kitne Rang Aate Jate Hai Aapke Do Rukhsaro Par,4.72,18,Veer
Sonu Nigam,Manu Hovya Pyaar Baliye,4.00,2,Veer
Sukhwinder Singh,Taali Maar Do Hathhi Veera,3.00,3,Veer
Sukhwinder Singh,Talli Maar Do Hathi Veera (Solo),2.67,3,Veer
"Rekha Bhardwaj, Sharib Sabri, Toshi Sabri, Shabaab Sabri",Kanha Bairan Huyi Bansuri,4.55,11,Veer
"Neuman Pinto, Wajid Khan, Sonu Nigam, Sukhwinder Singh",Ishq Mein Duba Duba Jaaye,1.00,1,Veer
"Roop Kumar Rathod, Lata Mangeshkar",Tere Liye Hum Hain Jiye,4.45,330,Veer Zaara
"Sonu Nigam, Lata Mangeshkar",Do Pal Ruka Khwabon,4.26,269,Veer Zaara
"Udit Narayan, Pritha Majumdar, Lata Mangeshkar, Gurdas Mann",Aisa Desh Hai Mera,4.31,83,Veer Zaara
Udit Narayan,"Mai Yaha Hu, Yaha Hu",4.19,94,Veer Zaara
"Mohd. Vakil, Mohd. Hussain, Javed Hussain, Ahmed Hussain",Aaya Tere Dar Par,4.44,32,Veer Zaara
"Gurdas Mann, Udit Narayan, Lata Mangeshkar",Lo Aa Gayi Lodi Ve,4.26,23,Veer Zaara
"Lata Mangeshkar, Sonu Nigam, Yash Chopra",Kyun Hawa Aaj Yu Gaa Rahi Hai,4.20,25,Veer Zaara
"Lata Mangeshkar, Udit Narayan",Laharaati Hui Raahen Khole Huye Hai Bahen,4.09,32,Veer Zaara
Lata Mangeshkar,Hum To Bhai Jaise Hain,3.85,20,Veer Zaara
Lata Mangeshkar,Jaane Kyun,4.09,11,Veer Zaara
"Lata Mangeshkar, Jagjit Singh",Tum Paas Aa Rahe Ho,4.41,22,Veer Zaara
"Kishore Kumar, Mahendra Kapoor",Do Bechaare Bina Sahaare,4.17,53,Victoria No. 203
Lata Mangeshkar,Thoda Sa Thehro Karti Hu Tumse Vada Pura Hoga Tumhara Vada,4.19,21,Victoria No. 203
Kishore Kumar,Dekha Maine Dekha Dekha Maine Dekha,4.73,15,Victoria No. 203
Kishore Kumar,Tu Na Mili To Hum Jogi Ban,4.39,18,Victoria No. 203
"Shivangi Kolhapure, Sadhana Sargam, Padmini Kolhapure, Kishore Kumar, Kanchan, Hemlata, Anuradha Paudwal, Alka Yagnik","Saat Saheliya Khadi Khadi, Fariyad Sunaye Ghadi Ghadi",4.00,53,Vidhaata
Asha Bhosle,Udi Baba Udi Baba Udi Baba,4.17,36,Vidhaata
Suresh Wadkar,Hathon Ki Chand Lakeeron Ka Sab Khel Hai Bus Taqdero Ka,4.13,40,Vidhaata
Lata Mangeshkar,O Sathiya Sare Sahare Tut Jaye,4.57,14,Vidhaata
Asha Bhosle,Pyar Ka Imtihan Hum Lenge Log Dekhenge,4.29,7,Vidhaata
Suresh Wadkar,Aa Hosh Me Sun,2.67,3,Vidhaata
Suresh Wadkar,Hatho Ki Chand Lakeero Ka (2),4.15,13,Vidhaata
"Suresh Wadkar, Anwar",Haathon Ki Chand Lakeeron Ka,3.80,5,Vidhaata
Kishore Kumar,Jab Jab Jo Jo Hona Hai (Part - 2),4.92,13,Vishwanath
Kishore Kumar,Jab Jab Jo Jo Hona Hai,4.64,11,Vishwanath
Lata Mangeshkar,"Hawa Se Halki Hu, Hui Jo Unse Mulakaat",4.78,9,Vishwanath
"Kishore Kumar, Lata Mangeshkar","Duniya Ne Mujhe Tadpaya, Kismat Ne Mujhe Uljhaya",4.71,7,Vishwanath
Lata Mangeshkar,Apna Dard Chhupana Hai Toh Geet Khushi Ke Gaa,4.50,4,Vishwanath
Asha Bhosle,Bibasha Aaj Karegi Manmani,4.50,8,Vishwanath
Manna Dey,Haye Jindadi Ve Yaaro,4.14,7,Vishwanath
Mukesh,"Chandi Ki Divar Na Todi, Pyar Bhara Dil Tod Diya",4.37,191,Vishwas
"Suman Kalyanpur, Manhar Udhas",Aapse Humko Bichade Hue,3.53,442,Vishwas
"Mukesh, Hemlata",Le Chal Mere Jivan Sathi,4.49,55,Vishwas
"Mukesh, Asha Bhosle",Muskura Ke Humko Luta Aapne,4.68,22,Vishwas
Lata Mangeshkar,Aaj Ki Raat Saajan Man Chahe Rahu Teri Baho Me,4.21,19,Vishwas
"Hemlata, Mahendra Kapoor, Mukesh, Usha Timothy",Zindagi Ke Saaz Pe Naacho,4.56,9,Vishwas
"Udit Narayan, Shreya Ghoshal",Milan Abhi Aadha Adhura Hai,4.19,68,Vivah
"Udit Narayan, Shreya Ghoshal",Mujhe Haq Hai Tujhe Mai,4.18,60,Vivah
"Babul Supriyo, Shreya Ghoshal",Hamari Shaadi Mein Abhi Baki,3.97,67,Vivah
Shreya Ghoshal,Raadhey Krishn Ki Jyoti,4.35,34,Vivah
"Shreya Ghoshal, Pamela Jain",O Jiji Kyaa Kehake Unako Bulaaoge,4.25,44,Vivah
"Suresh Wadkar, Kumar Sanu","Kal Jisne Janam Yehan Paya, Kal Jisko Jhule Ne Jhulaya",4.24,29,Vivah
Pamela Jain,Jai Gauri Maa Teri Jai Ho,4.21,24,Vivah
"Sudesh Bhosle, Ravindra Jain",Tere Dwaare Pe Aayi Barat,4.21,42,Vivah
"Shreya Ghoshal, Udit Narayan",Do Anjaane Ajnabi Chale Bandhne Bandhan,3.93,42,Vivah
"Suresh Wadkar, Aparnaa Bhaagwat",Savaiyyan Chhota Sa Saajan,4.71,7,Vivah
"Kavita Krishnamurthy, Udit Narayan",Dhol Bajane Lagaa,3.89,35,Virasat
Chithra K S,Payalay Chunmun Chunmun (Female),3.56,16,Virasat
Hariharan,"Ek Tha Raja, Sabke Dilo Me Vo Rahta",4.40,5,Virasat
Vinod Rathod,Sun Mausa Sun Mausi,4.33,3,Virasat
"Abhijeet, Anuradha Sriram",Jayengi Pee Ke Nagar,3.00,1,Virasat
"Kumar Sanu, Jaspinder Narula",Tare Hai Barati Chandani Hai Ye Barat,4.33,492,Virasat
"Kumar Sanu, Chithra K S",Paayalen Chhunamun,4.31,32,Virasat
Badshah,Tareefan (Remix),4.00,2,Veere Di Wedding
Badshah,Tareefan,2.00,3,Veere Di Wedding
"Arijit Singh, Shashwat Sachdev",Aa Jao Na,3.00,1,Veere Di Wedding
Shashwat Sachdev,Bass Gira De Raja,3.00,1,Veere Di Wedding
"Shashwat Sachdev, Surya Ragunaathan, Romy, Neha Kakkar",Bhangra Ta Sajda,3.00,1,Veere Di Wedding
"Vishal Mishra, Payal Dev",Dagmag Dagmag Diga Diga,3.00,1,Veere Di Wedding
"Divya Kumar, Jasleen Royal",Laaj Sharam,3.00,1,Veere Di Wedding
"Sunidhi Chauhan, Shashwat Sachdev",Pappi Le Lu,3.00,1,Veere Di Wedding
"Vishal Mishra, Aditi Singh Sharma, Dhvani Bhanushali, Nikita Ahuja, Payal Dev, Sharvi Yadav, Iulia Vantur",Veere,3.00,1,Veere Di Wedding
Ayushman Khurana,Pani Da Rang (Male Version),4.30,231,Vicky Donor
"Vishal Dadlani, Sunidhi Chauhan",Mar Jayian,4.48,50,Vicky Donor
Sukanya Purkayastha,Pani Da Rang (Female Version),4.46,83,Vicky Donor
Akshay Verma,Rum Rum Whisky,3.67,27,Vicky Donor
Bann,"Mar Jaiyan, Tere Bin Mar Jaiyan Re (Sad)",4.33,18,Vicky Donor
"Aditi Singh Sharma, Akshay Verma","Wo Khada Laao Rokda, Phool Ye Chota Sa Dekho",4.50,4,Vicky Donor
"Aditi Singh Sharma, Clinton Cerejo",Kho Jaane Do,4.25,8,Vicky Donor
Mika Singh,Sanu Mil Gaya Ported Chaddha,4.00,2,Vicky Donor
"Udit Narayan, Amit Kumar",Do Bechare Bina Sahare,4.40,5,Victoria No. 203
Zubeen Garg,Unke Aane Se Is Diwane Me Zindagi Aa Gayi,4.00,2,Victoria No. 203
"Shaan, Shreya Ghoshal",Deedani,3.00,1,Victoria No. 203
Shreya Ghoshal,Thoda Sa Thero Karti Hu Tumse Vada,3.00,1,Victoria No. 203
Annika,Victoria No. 203 (Version 1),1.00,1,Victoria No. 203
Annika,Victoria No. 203 (Version 2),1.00,1,Victoria No. 203
"Suresh Wadkar, Lata Mangeshkar",Badal Pe Chalke Aa,3.80,15,Vijay
Mahendra Kapoor,Tera Karam Hi Teri Vijay Hai (Male),4.67,6,Vijay
Asha Bhosle,Tera Karam Hi Teri Vijay Hai,4.25,8,Vijay
"Vinod Rathod, Suresh Wadkar, Lata Mangeshkar",Zindagi Har Janam Pyar Ki Dastaan,3.00,2,Vijay
